id_pasillo,nombre_ingrediente,precio_ingrediente
0,Annatto seed,100
0,Currants,70
0,Incaberries,165
1,Arugula,188
1,Asparagus,200
1,Avocado,500
1,Bamboo Shoots,325
1,Banana,200
1,Bean Shoots,130
1,Bean Sprouts,40
1,Blackberries,220
1,Broccoli,160
1,Bush Tomato,400
1,Cauliflower,200
1,Chickpea,55
1,Common Cultivated Mushrooms,400
1,Custard Apples,310
1,Feijoa,80
1,Fresh Chillies,230
1,Green Pepper,40
1,Green beans,55
1,Jerusalem Artichoke,300
1,Jicama,600
1,Kumera,340
1,Limes,600
1,Longan,700
1,Mandarins,350
1,Mint,120
1,Nashi Pear,111
1,Papaw,421
1,Passionfruit,550
1,Peaches,470
1,Pears,233
1,Peas,166
1,Persimmon,231
1,Porcini mushrooms,412
1,Pumpkin,368
1,Radicchio,324
1,Raspberry,323
1,Red Pepper,277
1,Rhubarb,675
1,Rockmelon,504
1,Shiitake Mushrooms,399
1,Snowpea sprouts,200
1,Spring Onions,371
1,Sprouts,422
1,Squash,420
1,Turnips,133
1,Watercress,111
1,Yellow Papaw,198
1,strawberries,245
2,Beans,231
2,Brown Rice,250
2,Capers,156
2,Mahlab,60
2,Rye,45
3,Blue Cheese,531
3,Brie,498
3,Goat Milk,325
3,Margarine,222
3,Omega Spread,66
3,Pecorino,79
3,Yoghurt,105
3,Yogurt,115
3,butter,333
3,eggs,147
3,mascarpone,600
4,Brown Flour,411
4,Buckwheat Flour,167
4,FlourOat,188
4,bakepowder,421
4,chocolate powder,20
4,dark chocolate powder,44
4,flour,100
4,maizena,165
4,vanilla,88
4,yeast,99
1,Cashews,133
6,Fish Sauce,520
6,Hummus,345
6,Mustard,229
7,Macadamia oil,166
8,Miso,347
9,Parrotfish,660
9,Salmon,650
9,Smoked Trout,455
9,Trout,367
10,Peppercorns,273
10,Saffron,127
10,Wasabi,87
11,White Wine,519
11,orange juice,108
12,coofe,73
12,sugar,183
13,dark chocolate,253